Pressure (mtorr),Input Voltage (V),Drop Voltage (V),Capacitor Distance (cm),pd (mTorr-cm)
51.5,371,17,5,257.5
50.3,370,15,7,352.1
103,319,14.3,5,515
150,300,14.5,5,750
122,309,15.59,7,854
200,311,28.64,5,1000
199,343,46.7,7,1393
254,374,77.7,7,1778
310,398,104.9,7,2170
357,416,127.3,7,2499
421,435,151.9,7,2947
449,443,163.8,7,3143
513,455,181.6,7,3591
554,465,193.5,7,3878
677,491,225.4,7,4739
