Pressure (mtorr),Input Voltage (V),Drop Voltage (V),Capacitor Distance (cm),pd (mTorr-cm)
65.8,433,7,5,329
89.9,409,6,5,449.5
109,395,5.1,5,545
103,392,3.2,7,721
150,393,4.8,5,750
200,407,31,5,1000
168,421,37,7,1176
268,439,53,5,1340
210,449,48.3,7,1470
343,466,84,5,1715
257,490,83.1,7,1799
321,535,135,7,2247
456,529,140,5,2280
370,549,161,7,2590
